temp_mean,precipitation,wind_speed,raceId
17.0,0.0,16.6,1
25.4,20.3,9.3,2
18.4,24.0,32.3,3
28.5,0.0,32.7,4
17.8,0.3,14.6,5
23.2,0.0,6.9,6
23.2,0.0,13.5,7
13.3,0.0,17.1,8
14.3,1.0,20.2,9
19.5,0.0,19.9,10
26.9,0.0,20.2,11
12.8,0.0,15.7,12
20.2,0.3,6.7,13
27.9,3.1,14.2,14
19.7,0.0,9.4,15
19.1,24.5,11.0,16
28.3,0.0,18.4,17
28.3,0.0,23.1,18
25.1,14.5,7.9,19
23.6,0.0,24.3,20
15.4,0.0,12.8,21
12.2,0.0,16.9,22
18.0,6.8,17.4,23
23.9,4.5,22.3,24
22.8,0.5,10.3,25
14.2,11.8,31.1,26
17.8,0.0,19.3,27
23.0,0.0,12.6,28
25.4,0.0,23.0,29
13.1,2.1,27.0,30
14.6,10.7,10.0,31
28.1,0.0,14.1,32
14.0,0.0,6.8,33
22.3,0.9,8.8,34
21.0,8.8,17.3,35
16.0,0.0,15.9,36
26.1,3.6,7.6,37
24.1,0.0,31.6,38
18.9,0.0,21.4,39
18.5,3.3,12.8,40
19.6,0.4,8.7,41
27.9,0.0,10.0,42
18.5,4.2,10.5,43
13.2,0.0,14.0,44
14.3,0.0,21.2,45
20.6,0.0,20.0,46
27.1,0.0,20.5,47
19.2,0.0,9.4,48
14.0,0.0,17.6,49
14.0,21.1,8.9,50
25.6,35.6,26.9,51
24.3,2.0,17.6,52
19.0,0.0,34.9,53
26.0,9.8,11.6,54
13.6,0.0,22.4,55
17.2,0.0,12.9,56
12.9,0.0,18.2,57
18.3,0.0,16.6,58
20.8,0.0,11.6,59
19.7,0.0,12.5,60
21.1,0.0,9.1,61
26.9,0.0,19.9,62
27.2,0.0,11.1,63
25.2,0.1,15.2,64
16.3,2.8,17.1,65
27.0,0.0,12.4,66
20.2,0.0,8.4,67
22.0,0.5,9.3,68
17.5,0.0,35.5,69
15.0,0.5,18.3,70
14.9,0.0,19.3,71
28.1,0.1,15.3,72
26.8,0.0,33.5,73
13.7,1.6,11.8,74
16.3,0.0,16.3,75
18.9,0.1,9.6,76
16.8,0.0,12.7,77
25.6,0.5,16.0,78
19.2,0.0,11.5,79
22.7,0.0,11.1,80
19.2,0.0,13.9,81
18.8,2.2,15.6,82
27.6,1.5,13.3,83
22.8,0.5,11.5,84
20.5,2.2,13.4,85
16.3,6.3,12.9,86
18.9,22.2,18.5,87
20.9,0.7,13.1,88
17.1,0.0,9.4,89
16.0,0.0,19.2,90
26.6,5.1,12.8,91
25.1,0.0,37.0,92
12.1,9.2,25.3,93
12.3,0.0,18.0,94
16.6,2.4,9.4,95
13.3,1.0,14.5,96
18.6,0.0,16.2,97
17.5,0.0,11.6,98
19.1,0.0,12.3,99
13.1,0.5,16.8,100
20.2,0.0,13.9,101
19.3,0.0,21.7,102
15.0,0.2,22.3,103
19.6,4.2,9.0,104
22.6,0.9,16.7,105
